Cache miss: -74.53125,41.1328125,-74.1796875,41.484375, Tile: x: 300, y: 373, z: 9, time: 0.186198949814
Cache miss: -74.8828125,41.1328125,-74.53125,41.484375, Tile: x: 299, y: 373, z: 9, time: 0.160759210587
Cache miss: -75.5859375,40.4296875,-75.234375,40.78125, Tile: x: 297, y: 371, z: 9, time: 0.146180152893
Cache miss: -75.234375,41.1328125,-74.8828125,41.484375, Tile: x: 298, y: 373, z: 9, time: 0.208222866058
Cache miss: -75.5859375,41.1328125,-75.234375,41.484375, Tile: x: 297, y: 373, z: 9, time: 0.22624707222
Cache miss: -75.5859375,40.78125,-75.234375,41.1328125, Tile: x: 297, y: 372, z: 9, time: 0.250767946243
Cache miss: -75.5859375,40.078125,-75.234375,40.4296875, Tile: x: 297, y: 370, z: 9, time: 0.210340023041
Cache miss: -75.234375,40.078125,-74.8828125,40.4296875, Tile: x: 298, y: 370, z: 9, time: 0.171014070511
Cache miss: -74.8828125,40.078125,-74.53125,40.4296875, Tile: x: 299, y: 370, z: 9, time: 0.142277002335
Cache miss: -74.53125,40.078125,-74.1796875,40.4296875, Tile: x: 300, y: 370, z: 9, time: 0.145539999008
Cache miss: -73.828125,40.078125,-73.4765625,40.4296875, Tile: x: 302, y: 370, z: 9, time: 0.141548871994
Cache miss: -74.1796875,40.078125,-73.828125,40.4296875, Tile: x: 301, y: 370, z: 9, time: 0.172209978104
Cache miss: -73.4765625,40.078125,-73.125,40.4296875, Tile: x: 303, y: 370, z: 9, time: 0.221596002579
Cache miss: -73.125,40.078125,-72.7734375,40.4296875, Tile: x: 304, y: 370, z: 9, time: 0.243590116501
Cache miss: -73.125,40.4296875,-72.7734375,40.78125, Tile: x: 304, y: 371, z: 9, time: 0.199708938599
Cache miss: -73.125,40.78125,-72.7734375,41.1328125, Tile: x: 304, y: 372, z: 9, time: 0.299331903458
Cache miss: -73.125,41.484375,-72.7734375,41.8359375, Tile: x: 304, y: 374, z: 9, time: 0.268271923065
Cache miss: -73.125,41.1328125,-72.7734375,41.484375, Tile: x: 304, y: 373, z: 9, time: 0.3293800354
Cache miss: -73.4765625,41.484375,-73.125,41.8359375, Tile: x: 303, y: 374, z: 9, time: 0.262597084045
Cache miss: -73.828125,41.484375,-73.4765625,41.8359375, Tile: x: 302, y: 374, z: 9, time: 0.250282049179
